artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Nelly;Hot In Herre;228240;2002;107.075;hip hop, pop, R&B;0.745;11;-4.753
Keyshia Cole;Last Night;255706;2007;121.006;hip hop, pop, R&B;0.857;3;-5.032
Lady Gaga;LoveGame;216333;2008;105.024;pop;0.678;6;-5.611
2 Chainz;It's A Vibe;210200;2017;73.003;hip hop, pop;0.502;7;-7.38
Natasha Bedingfield;Pocketful of Sunshine;203440;2008;110.019;pop;0.881;9;-3.892
Tyga;Taste (feat. Offset);232959;2018;97.994;hip hop, pop;0.559;0;-7.442
Ellie Goulding;"Love Me Like You Do - From ""Fifty Shades Of Grey""";252534;2015;189.857;pop, rock, Dance/Electronic;0.606;8;-6.646
Wiz Khalifa;Black and Yellow;217666;2011;164.02;hip hop, pop;0.834;2;-4.524
Kanye West;Homecoming;203493;2007;86.917;hip hop;0.747;1;-7.059
Nelly;Over And Over;253933;2004;169.799;hip hop, pop, R&B;0.517;7;-10.02
The Chainsmokers;Closer;244960;2016;95.01;pop, Dance/Electronic;0.524;8;-5.599
Hoobastank;The Reason;232800;2003;82.952;pop, rock, metal;0.671;4;-4.649
Missy Elliott;Work It;263226;2002;101.868;hip hop, pop, R&B;0.677;1;-5.603
The Game;How We Do;235533;2005;98.012;hip hop, pop;0.648;4;-7.401
Scooter;The Logical Song;234116;2013;144.043;pop, Dance/Electronic;0.933;6;-6.277
Miley Cyrus;Wrecking Ball;221360;2013;119.964;pop;0.422;5;-6.262
The Pussycat Dolls;I Hate This Part;218400;2008;111.572;pop, R&B;0.612;5;-4.371
JAY-Z;Run This Town;267520;2009;86.844;hip hop;0.924;1;-1.802
D12;My Band;298773;2004;120.014;hip hop, pop, rock;0.849;1;-3.383
Cobra Starship;You Make Me Feel... (feat. Sabi);215693;2011;131.959;pop, Dance/Electronic;0.857;7;-2.944
Blake Shelton;Honey Bee;210720;2011;205.57;country;0.849;4;-5.131
Bomfunk MC's;Freestyler;306333;2000;163.826;pop;0.922;11;-5.798
The-Dream;Rockin' That Shit;221920;2009;78.005;hip hop, pop, R&B;0.62;8;-4.865
6ix9ine;GUMMO;157643;2018;157.036;hip hop;0.775;2;-4.926
Ellie Goulding;Starry Eyed;176613;2010;149.967;pop, rock, Dance/Electronic;0.814;5;-5.346
Beyoncé;Best Thing I Never Had;253746;2011;99.099;pop, R&B;0.649;6;-4.062
Mabel;Don't Call Me Up;178480;2019;98.994;pop, Dance/Electronic;0.881;9;-2.853
Plain White T's;Hey There Delilah;232533;2005;103.971;pop;0.291;2;-10.572
Kesha;Your Love Is My Drug;187133;2010;120.057;pop, Dance/Electronic;0.612;1;-3.891
Katie Melua;Nine Million Bicycles;197160;2005;82.168;pop, easy listening, jazz;0.247;0;-15.636
The Band Perry;If I Die Young;222773;2010;130.739;country;0.497;4;-6.611
Calvin Harris;One Kiss (with Dua Lipa);214846;2018;123.994;hip hop, pop, Dance/Electronic;0.862;9;-3.24
Soulja Boy;Crank That (Soulja Boy);221933;2007;140.141;hip hop, pop;0.74;0;-2.18
Guru Josh Project;Infinity 2008;190013;2011;127.999;hip hop;0.849;7;-6.139
Avril Lavigne;Sk8er Boi;204000;2002;149.937;pop;0.9;0;-4.417
Calvin Harris;We'll Be Coming Back (feat. Example);234360;2012;127.945;hip hop, pop, Dance/Electronic;0.952;7;-4.364
Rihanna;Needed Me;191600;2016;110.898;hip hop, pop, R&B;0.314;5;-8.091
Kings of Leon;Sex on Fire;203346;2008;153.398;rock;0.905;9;-5.653
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
Ashanti;Rock Wit U (Awww Baby);209120;2003;94.998;hip hop, pop, R&B;0.797;4;-3.006
Katy Perry;The One That Got Away;227333;2012;133.962;pop;0.792;1;-4.023
Kanye West;Gold Digger;207626;2005;93.034;hip hop;0.696;1;-5.572
Rizzle Kicks;Down With The Trumpets;186851;2011;115.057;hip hop;0.88;4;-4.689
Chris Brown;With You;252120;2007;86.009;hip hop, pop, R&B;0.693;3;-4.298
Blue;Sorry Seems To Be The Hardest Word;210066;2004;78.955;pop;0.6;7;-6.814
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);244466;2019;195.685;pop;0.643;9;-7.486
Nelly Furtado;I'm Like A Bird;243160;2000;89.661;hip hop, pop, latin;0.608;10;-5.085
Ronan Keating;Lovin' Each Day;212973;2000;106.676;pop, rock;0.899;1;-6.261
Céline Dion;That's the Way It Is;241373;1999;93.04;pop;0.886;9;-5.424
Jennifer Lopez;Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;187840;2002;100.0;hip hop, pop, R&B;0.768;6;-5.448
Diddy;I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];285586;2004;199.764;hip hop, pop;0.471;1;-7.392
Big Shaq;Man's Not Hot;186026;2017;135.048;pop, Dance/Electronic;0.884;0;-4.076
Will Smith;Switch;197666;2020;102.516;hip hop, pop;0.9;5;-4.325
Jay Rock;King's Dead (with Kendrick Lamar, Future & James Blake);229670;2018;137.133;hip hop, pop;0.705;1;-5.008
Ne-Yo;Beautiful Monster;251573;2010;128.013;pop, R&B;0.771;5;-6.99
Alesso;Heroes (we could be);209866;2014;125.876;pop, Dance/Electronic;0.754;5;-4.144
Britney Spears;My Prerogative;213893;2004;111.014;pop;0.938;10;-4.423
Mary J. Blige;No More Drama;326240;2001;97.914;pop, R&B;0.837;6;-6.818
Bruno Mars;The Lazy Song;189109;2010;174.915;pop;0.711;8;-5.124
Pretty Ricky;On the Hotline - Amended Version;242586;2007;92.988;hip hop, pop, R&B;0.854;10;-5.477
Brian McFadden;Almost Here;229826;2004;77.984;set();0.452;9;-7.324
Ronan Keating;If Tomorrow Never Comes;214306;2002;79.01;pop, rock;0.496;10;-6.136
Ludacris;Rollout (My Business);296586;2001;131.059;hip hop, pop;0.668;7;-8.73
Christina Aguilera;Candyman;194213;2006;172.976;pop;0.789;8;-4.713
Rihanna;Unfaithful;226973;2006;144.069;hip hop, pop, R&B;0.391;0;-8.607
Far East Movement;Rocketeer;211253;2010;96.005;hip hop, pop;0.845;4;-6.115
Ariana Grande;God is a woman;197546;2018;145.031;pop;0.658;1;-5.934
Taylor Swift;Cruel Summer;178426;2019;169.994;pop;0.702;9;-5.707
AJ Tracey;Ladbroke Grove;190537;2019;133.986;hip hop, Dance/Electronic;0.839;11;-9.447
Rixton;Me And My Broken Heart;193733;2014;174.084;pop;0.783;5;-4.261
Lil Dicky;Freaky Friday (feat. Chris Brown);216631;2018;133.123;hip hop, pop;0.599;8;-5.042
Paloma Faith;Only Love Can Hurt Like This;232893;2014;90.99;pop, R&B, Dance/Electronic;0.885;8;-4.528
Yolanda Be Cool;We No Speak Americano (JT Radio Edit);157438;2010;124.996;Dance/Electronic;0.805;6;-5.005
Sam Smith;Stay With Me;172723;2014;84.094;pop;0.42;0;-6.444
Christina Aguilera;Can't Hold Us Down (feat. Lil' Kim);255266;2002;98.989;pop;0.658;8;-4.481
Debelah Morgan;Dance with Me;220106;2000;115.005;pop, R&B;0.674;7;-7.981
Olly Murs;Up (feat. Demi Lovato);224293;2014;114.948;pop, Dance/Electronic;0.845;9;-4.676
Duffy;Mercy;219920;2008;129.911;pop, R&B;0.859;0;-3.774
Keyshia Cole;Love;255333;2005;116.714;hip hop, pop, R&B;0.519;5;-4.285
Mariah Carey;Loverboy;229173;2001;103.141;pop, R&B;0.79;1;-4.125
50 Cent;Ayo Technology;247946;2007;140.144;hip hop, pop;0.782;8;-5.44
Axwell /\ Ingrosso;More Than You Know;203000;2017;123.07;pop, Dance/Electronic;0.741;5;-4.989
Loud Luxury;Body (feat. brando);163216;2017;121.958;pop, Dance/Electronic;0.764;1;-4.399
Astrid S;Hurts So Good;208728;2016;120.036;rock, pop, Dance/Electronic;0.589;7;-5.008
Sheppard;Geronimo;218227;2014;142.016;pop, rock, Dance/Electronic;0.771;7;-6.275
Fergie;Big Girls Don't Cry (Personal);268120;2006;113.082;pop, R&B;0.641;7;-4.296
SAYGRACE;You Don't Own Me (feat. G-Eazy);199314;2015;186.394;pop, R&B;0.664;7;-5.68
Sam Smith;"Writing's On The Wall - From ""Spectre"" Soundtrack";278987;2015;81.418;pop;0.302;5;-8.19
Tory Lanez;LUV;228640;2016;95.109;hip hop, pop, R&B;0.541;11;-8.128
Bryson Tiller;Exchange;194613;2015;160.108;hip hop, pop, R&B;0.433;6;-10.598
Blue;If You Come Back;207560;2001;78.375;pop;0.707;10;-4.487
Rihanna;Bitch Better Have My Money;219305;2015;102.99;hip hop, pop, R&B;0.728;1;-4.981
P!nk;Get the Party Started;192533;2001;128.93;pop;0.903;11;-3.267
Miley Cyrus;Can't Be Tamed;168213;2010;116.98;pop;0.91;11;-2.919
Dr. Dre;The Next Episode;161506;1999;95.295;hip hop;0.909;10;-2.429
Nelly;My Place;336506;2004;163.153;hip hop, pop, R&B;0.641;1;-4.237
P!nk;Who Knew;208493;2006;140.004;pop;0.734;9;-4.569
Bruno Mars;When I Was Your Man;213826;2012;72.795;pop;0.28;0;-8.648
Eminem;Berzerk;238746;2013;95.084;hip hop;0.872;11;-4.059
Ciara;Goodies (feat. Petey Pablo);223000;2004;102.017;pop, R&B;0.647;5;-6.306
The Game;Hate It Or Love It;206400;2005;99.998;hip hop, pop;0.785;9;-4.781
Coldplay;Paradise;278719;2011;139.631;rock, pop;0.585;5;-6.761
Billie Eilish;lovely (with Khalid);200185;2018;115.284;pop, Dance/Electronic;0.296;4;-10.109
Girls Aloud;Something Kinda Ooooh;201590;2012;131.925;pop, Dance/Electronic;0.908;11;-3.918
Burak Yeter;Tuesday (feat. Danelle Sandoval);241874;2016;99.002;Dance/Electronic;0.639;9;-6.052
P!nk;So What;215160;2008;126.019;pop;0.87;11;-3.078
Chris Brown;Yo (Excuse Me Miss);229040;2005;86.768;hip hop, pop, R&B;0.612;4;-5.847
Ne-Yo;Miss Independent;232000;2008;171.812;pop, R&B;0.673;1;-5.714
Fall Out Boy;Thnks fr th Mmrs;203506;2007;154.837;rock;0.891;10;-5.057
Bad Bunny;MIA (feat. Drake);210367;2018;97.062;latin;0.539;6;-6.349
Ylvis;The Fox (What Does the Fox Say?);213708;2013;128.008;hip hop;0.867;6;-4.292
T.I.;Whatever You Like;249533;2008;150.053;hip hop, pop;0.687;9;-6.162
Keri Hilson;Pretty Girl Rock;243920;2010;160.014;pop, R&B;0.87;11;-5.004
Justin Timberlake;Mirrors;484146;2013;76.899;pop;0.512;5;-6.664
Nas;I Can;253720;2002;95.313;hip hop;0.885;6;-3.914
Mariah Carey;Thank God I Found You (feat. Joe & 98°);257360;1999;129.297;pop, R&B;0.532;10;-5.882
Drake;Take Care;277386;2011;121.845;hip hop, pop, R&B;0.515;0;-10.358
Dizzee Rascal;Holiday;220626;2011;117.985;hip hop, pop, Dance/Electronic;0.918;0;-1.925
Britney Spears;Gimme More;251240;2007;113.324;pop;0.844;2;-3.131
Eric Prydz;Pjanoo - Radio Edit;157432;2008;125.99;pop, Dance/Electronic;0.874;7;-4.949
Sting;Desert Rose;285960;1999;111.989;rock, pop;0.659;0;-7.92
Plies;Hypnotized (feat. Akon);188493;2007;116.59;hip hop, pop, R&B;0.571;10;-7.421
Gabrielle;Rise;219093;2001;144.673;pop, R&B;0.481;8;-9.487
Gnarls Barkley;Crazy;177466;2006;111.97;hip hop, R&B;0.587;8;-4.589
DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B);212500;2018;95.881;hip hop, pop, Dance/Electronic;0.801;8;-4.167
PARTYNEXTDOOR;Not Nice;202661;2016;128.06;hip hop, pop, R&B;0.496;0;-9.309
